Eoin Fennessy,X911234,0860000001,eoinfennessy@gmail.com,C,1989
John Smith,A17AB12,0860000002,johnsmith@gmail.com,E,1970
Mary Ryan,A12B123,0860000003,maryryan@gmail.com,A,2015
Eoin Martin,X911235,0860000004,eoinmartin@gmail.com,A,1993
Joan Mullins,X91AB12,0860000005,joanmullins@gmail.com,B,1977
Duncan Smith,C17X193,0860000006,duncansmith@gmail.com,D,1962
Susan O'Neill,D24VT17,0860000007,susanoneill@gmail.com,A,1999
Magda Nowak,X91TC64,0860000008,magdanowak@gmail.com,C,1980
Johnny Freyne,C71HT74,0860000009,johnnyfreyne@gmail.com,B,2001
Nora Kearney,X912TV7,0860000010,norakearney@gmail.com,D,1973
James King,F31G9NW,0860000011,jamesking@gmail.com,E,1953
Sarah Power,D23CV17,0860000012,sarahpower@gmail.com,A,2007
Gary Crosby,V87HK21,0860000013,garycrosby@gmail.com,D,2008
Eoin Long,X91DWD2,0860000015,eoinlong@gmail.com,B,2013
Ciara Howard,F71B3G6,0860000016,ciarahoward@gmail.com,C,1981
Niall Geary,J0856YJ,0860000017,niallgeary@gmail.com,D,2003
Joan O'Brien,D09HK45,0860000014,joanobrien@gmail.com,B,1993
Tom Long,ASD1234,0861234567,tomlong@gmail.com,B,1989
